ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
297065,SY0070944,Gas Turbine,71EA,Call-Out,EVP-505552,EV-116519,10338499,FSP-277372,A-1557600 | C-10338499,,08-Feb-21,12-10-2020,28-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/17c316c4-3106-46b8-8316-c4310676b87c.pdf
299027,SY0335533,Gas Turbine,9FA.04,Major Inspection (MI),,,,,C-80050692,,12-Nov-21,09-Jun-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/19227aee-b320-42e0-a27a-eeb32002e0cc.pdf
155039,SY0483189,Steam Turbine,SANC,Minor Inspection,,,,FSP-278436,C-10339302,,,03-Mar-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/19f6679c-a892-4659-b667-9ca892b6594e.pdf
281869,SY0069822,Gas Turbine,71E,Call-Out,EVP-510535,EV-114675,10353677,FSP-299052,A-1630514 | C-10353677,,,25-Sep-20,28-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/1d9034a2-ce2d-4a03-9034-a2ce2dba03b6.pdf
297328,SY0071334,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-505114,EV-114253,10335331,FSP-272724,A-1545366 | C-10335331,,,31-Aug-20,09-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/1e221374-f598-4467-a213-74f598a46776.pdf
,SY0022801,Steam Turbine,DKY4-6D54,,,,,FSP-256821,C-10338767,,,13-Jul-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/20be5de8-c996-48c3-be5d-e8c99648c353.pdf
,SY0013983,Generator,GTD 1725KT,,,,,FSP-256821,C-10338767,,,13-Jul-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/20be5de8-c996-48c3-be5d-e8c99648c353.pdf
299275,SY0498938,Gas Turbine,7FA.03,Digital,EVP-505821,EV-122173,1565344,FSP-279918,A-1565344 | C-10340323,,,29-02-2020,23-03-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/214d041a-acad-4640-8d04-1aacad364033.pdf
297891,SY0071253,Gas Turbine,7FA.03,Call-Out,EVP-512195,EV-110442,10358142,FSP-304713,A-1652800 | C-10358142,,,19-01-2021,31-12-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/217860c6-03a4-4fe7-b860-c603a4efe76f.pdf
297955,SY0075963,Gas Turbine,7FA.04,Major Inspection (MI),EVP-503950,EV-124565,10335711,FSP-239293,A-1358422 | C-10335711,,,11-Feb-21,21-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/21a61330-f7bf-4961-a613-30f7bfa961e3.pdf
297955,SY0075963,Gas Turbine,7FA.04,Major Inspection (MI),EVP-503950,EV-124564,10335711,FSP-239293,A-1358422 | C-10335711,,,11-Feb-21,21-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/21a61330-f7bf-4961-a613-30f7bfa961e3.pdf
